******************************
Namespace(board=True, cfg='./configs/incremental_herding_kd.yaml', debug=False, detector='yolo', device=device(type='cuda', index=0), dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='12', gpus=[0], launcher='none', map=True, nThreads=1, rank=-1, snapshot=2, sync=False, work_dir='./exp/12-incremental_herding_kd.yaml/', world_size=4)
******************************
{'ANIMAL_CLASS_BASE': ['cat', 'dog', 'cow'], 'ANIMAL_CLASS_INCREMENTAL': ['horse', 'sheep'], 'INCREMENTAL_STEP': 1, 'MEMORY': 1000, 'DATASET': {'DATA_ROOT': '/media2/het/data/', 'IMAGES': '/media2/het/data/cropped_images/', 'ANNOT': '/media2/het/data/updated_df.csv'}, 'DATA_PRESET': {'TYPE': 'simple', 'SIGMA': 2, 'NUM_JOINTS': 17, 'IMAGE_SIZE': [512, 512], 'HEATMAP_SIZE': [128, 128]}, 'MODEL': {'TYPE': 'FastPose', 'PRETRAINED': '', 'TRY_LOAD': '', 'NUM_DECONV_FILTERS': [128, 128], 'NUM_LAYERS': 50}, 'LOSS': {'TYPE': 'MSELoss'}, 'DETECTOR': {'NAME': 'yolo', 'CONFIG': 'detector/yolo/cfg/yolov3-spp.cfg', 'WEIGHTS': 'detector/yolo/data/yolov3-spp.weights', 'NMS_THRES': 0.6, 'CONFIDENCE': 0.05}, 'TRAIN': {'BASE_DATA_FOR_INCREMENTAL': 0.1, 'WORLD_SIZE': 4, 'BATCH_SIZE': 13, 'VAL_BATCH_SIZE': 10, 'BEGIN_EPOCH': 0, 'END_EPOCH': 20, 'OPTIMIZER': 'adam', 'LR': 0.0001, 'LR_FACTOR': 0.1, 'LR_STEP': [15], 'DPG_MILESTONE': 15, 'DPG_STEP': [4]}, 'TRAIN_INCREMENTAL': {'BASE_DATA_FOR_INCREMENTAL': 0.1, 'BATCH_SIZE': 5, 'VAL_BATCH_SIZE': 10, 'BEGIN_EPOCH': 0, 'END_EPOCH': 10, 'KD_LOSS': True, 'OPTIMIZER': 'adam', 'LR': 0.0001, 'LR_FACTOR': 0.1, 'LR_STEP': [15], 'DPG_MILESTONE': 15, 'DPG_STEP': [19]}, 'FILE_NAME': 'incremental_herding_kd.yaml'}
******************************
Create new model
=> init weights
############# Starting Base Training with base classes ['cat', 'dog', 'cow'] ########################
############# Starting Epoch 0 | LR: 0.0001 #############
Base_Train-0 epoch | loss:0.00018060 | acc:0.2858
##### Epoch 0 | Loss: 0.00033536000410094857 | acc: 0.401412251203163 #####
############# Starting Epoch 1 | LR: 0.0001 #############
Base_Train-1 epoch | loss:0.00015829 | acc:0.4601
##### Epoch 1 | Loss: 0.0003148146497551352 | acc: 0.4783105866069289 #####
############# Starting Epoch 2 | LR: 0.0001 #############
Base_Train-2 epoch | loss:0.00014220 | acc:0.5525
##### Epoch 2 | Loss: 0.0002921747509390116 | acc: 0.5453263767192701 #####
############# Starting Epoch 3 | LR: 0.0001 #############
Base_Train-3 epoch | loss:0.00012217 | acc:0.6243
##### Epoch 3 | Loss: 0.00026505839196033776 | acc: 0.5954434211424037 #####
############# Starting Epoch 4 | LR: 0.0001 #############
Base_Train-4 epoch | loss:0.00010604 | acc:0.6699
##### Epoch 4 | Loss: 0.00024720473447814584 | acc: 0.6150384928875764 #####
############# Starting Epoch 5 | LR: 0.0001 #############
Base_Train-5 epoch | loss:0.00009415 | acc:0.7115
##### Epoch 5 | Loss: 0.00023689384397584945 | acc: 0.6548634580748007 #####
############# Starting Epoch 6 | LR: 0.0001 #############
Base_Train-6 epoch | loss:0.00008117 | acc:0.7701
##### Epoch 6 | Loss: 0.00021325575653463602 | acc: 0.703550515193306 #####
############# Starting Epoch 7 | LR: 0.0001 #############
Base_Train-7 epoch | loss:0.00006726 | acc:0.8085
##### Epoch 7 | Loss: 0.00019946633256040514 | acc: 0.7282878212747425 #####
############# Starting Epoch 8 | LR: 0.0001 #############
Base_Train-8 epoch | loss:0.00005894 | acc:0.8261
##### Epoch 8 | Loss: 0.00018686277326196432 | acc: 0.742456187216266 #####
############# Starting Epoch 9 | LR: 0.0001 #############
Base_Train-9 epoch | loss:0.00005274 | acc:0.8385
##### Epoch 9 | Loss: 0.00017620383005123585 | acc: 0.7565127559644551 #####
############# Starting Epoch 10 | LR: 0.0001 #############
Base_Train-10 epoch | loss:0.00004747 | acc:0.8676
##### Epoch 10 | Loss: 0.0001703549496596679 | acc: 0.7872442255957303 #####
############# Starting Epoch 11 | LR: 0.0001 #############
Base_Train-11 epoch | loss:0.00004260 | acc:0.9038
##### Epoch 11 | Loss: 0.00015884752792771906 | acc: 0.8085987656556871 #####
############# Starting Epoch 12 | LR: 0.0001 #############
Base_Train-12 epoch | loss:0.00003552 | acc:0.9204
##### Epoch 12 | Loss: 0.00015101720055099577 | acc: 0.8160882363002675 #####
############# Starting Epoch 13 | LR: 0.0001 #############
Base_Train-13 epoch | loss:0.00003112 | acc:0.9369
##### Epoch 13 | Loss: 0.00014166995242703706 | acc: 0.8297839696223316 #####
############# Starting Epoch 14 | LR: 0.0001 #############
Base_Train-14 epoch | loss:0.00002810 | acc:0.9461
##### Epoch 14 | Loss: 0.0001387441297993064 | acc: 0.839660105900598 #####
############# Starting Epoch 15 | LR: 1e-05 #############
Base_Train-15 epoch | loss:0.00002141 | acc:0.9525
##### Epoch 15 | Loss: 0.00011975499364780262 | acc: 0.8498496678364829 #####
############# Starting Epoch 16 | LR: 0.0001 #############
Base_Train-16 epoch | loss:0.00002798 | acc:0.9503
##### Epoch 16 | Loss: 0.00014798487245570868 | acc: 0.8340620058687587 #####
############# Starting Epoch 17 | LR: 0.0001 #############
Base_Train-17 epoch | loss:0.00002653 | acc:0.9523
##### Epoch 17 | Loss: 0.00013089919229969382 | acc: 0.8457480571251493 #####
############# Starting Epoch 18 | LR: 0.0001 #############
Base_Train-18 epoch | loss:0.00002139 | acc:0.9567
##### Epoch 18 | Loss: 0.00012421354767866433 | acc: 0.8463251135383917 #####
############# Starting Epoch 19 | LR: 0.0001 #############
Base_Train-19 epoch | loss:0.00002065 | acc:0.9591
##### Epoch 19 | Loss: 0.00012874166714027524 | acc: 0.8455634515939199 #####
#######################################################################################################################
############# Starting Incremental Training step 0 with incremental classes ['horse'] ########################
############# Starting Epoch 0 | LR: 0.0001 #############
Incremental_Train0-0 epoch | loss:0.00026834 | acc:0.6004
##### Evaluating on class 0 Epoch 0 | Loss: 0.00022729574993718415 | acc: 0.7438679045213233 #####
##### Evaluating on class 1 Epoch 0 | Loss: 0.0003150120610371232 | acc: 0.6359016413582976 #####
##### Evaluating on all classes Epoch 0 | Loss: 0.00024301848316099495 | acc: 0.7245154611241769 #####
############# Starting Epoch 1 | LR: 0.0001 #############
Incremental_Train0-1 epoch | loss:0.00019943 | acc:0.7901
##### Evaluating on class 0 Epoch 1 | Loss: 0.0002490186889190227 | acc: 0.6926920268426653 #####
##### Evaluating on class 1 Epoch 1 | Loss: 0.00026268235524185 | acc: 0.7506142808000393 #####
##### Evaluating on all classes Epoch 1 | Loss: 0.0002514677762519568 | acc: 0.7030743176463459 #####
############# Starting Epoch 2 | LR: 0.0001 #############
Incremental_Train0-2 epoch | loss:0.00015964 | acc:0.8673
