******************************
Namespace(board=True, cfg='./configs/incremental.yaml', debug=False, detector='yolo', device=device(type='cuda', index=0), dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='15', gpus=[0], launcher='none', map=True, nThreads=1, rank=-1, snapshot=2, sync=False, work_dir='./exp/15-incremental.yaml/', world_size=4)
******************************
{'ANIMAL_CLASS_BASE': ['cat', 'dog', 'cow'], 'ANIMAL_CLASS_INCREMENTAL': ['horse', 'sheep'], 'INCREMENTAL_STEP': 1, 'DATASET': {'IMAGES': '/media2/het/data/cropped_images/', 'ANNOT': '/media2/het/data/updated_df.csv'}, 'DATA_PRESET': {'TYPE': 'simple', 'SIGMA': 2, 'NUM_JOINTS': 17, 'IMAGE_SIZE': [512, 512], 'HEATMAP_SIZE': [128, 128]}, 'MODEL': {'TYPE': 'FastPose', 'PRETRAINED': '', 'TRY_LOAD': '', 'NUM_DECONV_FILTERS': [128, 128], 'NUM_LAYERS': 50}, 'LOSS': {'TYPE': 'MSELoss'}, 'DETECTOR': {'NAME': 'yolo', 'CONFIG': 'detector/yolo/cfg/yolov3-spp.cfg', 'WEIGHTS': 'detector/yolo/data/yolov3-spp.weights', 'NMS_THRES': 0.6, 'CONFIDENCE': 0.05}, 'TRAIN': {'BASE_DATA_FOR_INCREMENTAL': 0, 'WORLD_SIZE': 4, 'BATCH_SIZE': 10, 'VAL_BATCH_SIZE': 20, 'BEGIN_EPOCH': 0, 'END_EPOCH': 20, 'OPTIMIZER': 'adam', 'LR': 0.0001, 'LR_FACTOR': 0.1, 'LR_STEP': [15, 60], 'DPG_MILESTONE': 19, 'DPG_STEP': [0]}, 'TRAIN_INCREMENTAL': {'BASE_DATA_FOR_INCREMENTAL': 0, 'BATCH_SIZE': 10, 'VAL_BATCH_SIZE': 20, 'BEGIN_EPOCH': 0, 'END_EPOCH': 10, 'KD_LOSS': False, 'OPTIMIZER': 'adam', 'LR': 0.0001, 'LR_FACTOR': 0.1, 'LR_STEP': [15, 60], 'DPG_MILESTONE': 19, 'DPG_STEP': [19, 60]}, 'FILE_NAME': 'incremental.yaml'}
******************************
Create new model
=> init weights
############# Starting Base Training with base classes ['cat', 'dog', 'cow'] ########################
############# Starting Epoch 0 | LR: 0.0001 #############
Base_Train-0 epoch | loss:0.00017900 | acc:0.3060
##### Epoch 0 | Loss: 0.0003371400525793433 | acc: 0.4086184974303472 #####
############# Starting Epoch 1 | LR: 0.0001 #############
Base_Train-1 epoch | loss:0.00015725 | acc:0.4738
##### Epoch 1 | Loss: 0.0003170662675984204 | acc: 0.49235080302012324 #####
############# Starting Epoch 2 | LR: 0.0001 #############
Base_Train-2 epoch | loss:0.00014039 | acc:0.5631
##### Epoch 2 | Loss: 0.00028955514426343143 | acc: 0.5557155239204853 #####
############# Starting Epoch 3 | LR: 0.0001 #############
Base_Train-3 epoch | loss:0.00012079 | acc:0.6304
##### Epoch 3 | Loss: 0.00026400445494800806 | acc: 0.5971174178559477 #####
############# Starting Epoch 4 | LR: 0.0001 #############
Base_Train-4 epoch | loss:0.00010567 | acc:0.6833
##### Epoch 4 | Loss: 0.000246624113060534 | acc: 0.640948858084 #####
############# Starting Epoch 5 | LR: 0.0001 #############
Base_Train-5 epoch | loss:0.00009133 | acc:0.7451
##### Epoch 5 | Loss: 0.00023029152362141758 | acc: 0.6805243003453713 #####
############# Starting Epoch 6 | LR: 0.0001 #############
Base_Train-6 epoch | loss:0.00007672 | acc:0.7908
##### Epoch 6 | Loss: 0.00021208688849583268 | acc: 0.707034987423625 #####
############# Starting Epoch 7 | LR: 0.0001 #############
Base_Train-7 epoch | loss:0.00006565 | acc:0.8146
##### Epoch 7 | Loss: 0.0001968470896827057 | acc: 0.7258411693911311 #####
############# Starting Epoch 8 | LR: 0.0001 #############
Base_Train-8 epoch | loss:0.00005861 | acc:0.8303
##### Epoch 8 | Loss: 0.00018671996076591313 | acc: 0.7380914499404485 #####
############# Starting Epoch 9 | LR: 0.0001 #############
Base_Train-9 epoch | loss:0.00005280 | acc:0.8408
##### Epoch 9 | Loss: 0.00017684116028249264 | acc: 0.7484722179543625 #####
############# Starting Epoch 10 | LR: 0.0001 #############
Base_Train-10 epoch | loss:0.00004775 | acc:0.8611
##### Epoch 10 | Loss: 0.00017123598081525415 | acc: 0.7692192604940453 #####
############# Starting Epoch 11 | LR: 0.0001 #############
Base_Train-11 epoch | loss:0.00004352 | acc:0.8902
##### Epoch 11 | Loss: 0.00015872014046180993 | acc: 0.7964021446212766 #####
############# Starting Epoch 12 | LR: 0.0001 #############
Base_Train-12 epoch | loss:0.00003776 | acc:0.9142
