******************************
Namespace(board=True, cfg='./configs/incremental.yaml', debug=False, detector='yolo', device=device(type='cuda', index=0), dist_backend='nccl', dist_url='tcp://192.168.1.214:23345', exp_id='9', gpus=[0, 1, 2], launcher='none', map=True, nThreads=1, rank=-1, snapshot=2, sync=False, work_dir='./exp/9-incremental.yaml/', world_size=4)
******************************
{'ANIMAL_CLASS_BASE': ['cat', 'dog', 'cow'], 'ANIMAL_CLASS_INCREMENTAL': ['horse', 'sheep'], 'INCREMENTAL_STEP': 1, 'DATASET': {'IMAGES': '/media2/het/data/cropped_images/', 'ANNOT': '/media2/het/data/updated_df.csv'}, 'DATA_PRESET': {'TYPE': 'simple', 'SIGMA': 2, 'NUM_JOINTS': 17, 'IMAGE_SIZE': [512, 512], 'HEATMAP_SIZE': [128, 128]}, 'MODEL': {'TYPE': 'FastPose', 'PRETRAINED': '', 'TRY_LOAD': '', 'NUM_DECONV_FILTERS': [128, 128], 'NUM_LAYERS': 50}, 'LOSS': {'TYPE': 'MSELoss'}, 'DETECTOR': {'NAME': 'yolo', 'CONFIG': 'detector/yolo/cfg/yolov3-spp.cfg', 'WEIGHTS': 'detector/yolo/data/yolov3-spp.weights', 'NMS_THRES': 0.6, 'CONFIDENCE': 0.05}, 'TRAIN': {'BASE_DATA_FOR_INCREMENTAL': 1, 'WORLD_SIZE': 4, 'BATCH_SIZE': 10, 'VAL_BATCH_SIZE': 20, 'BEGIN_EPOCH': 0, 'END_EPOCH': 20, 'OPTIMIZER': 'adam', 'LR': 0.0001, 'LR_FACTOR': 0.1, 'LR_STEP': [15], 'DPG_MILESTONE': 15, 'DPG_STEP': [4]}, 'TRAIN_INCREMENTAL': {'BASE_DATA_FOR_INCREMENTAL': 1, 'BATCH_SIZE': 10, 'VAL_BATCH_SIZE': 10, 'BEGIN_EPOCH': 0, 'END_EPOCH': 10, 'OPTIMIZER': 'adam', 'LR': 0.0001, 'LR_FACTOR': 0.1, 'LR_STEP': [15], 'DPG_MILESTONE': 15, 'DPG_STEP': [19]}, 'FILE_NAME': 'incremental.yaml'}
******************************
Create new model
=> init weights
############# Starting Base Training with base classes ['cat', 'dog', 'cow'] ########################
############# Starting Epoch 0 | LR: 0.0001 #############
Base_Train-0 epoch | loss:0.00018921 | acc:0.2212
##### Epoch 0 | Loss: 0.00034418408176861703 | acc: 0.32707363243703264 #####
############# Starting Epoch 1 | LR: 0.0001 #############
Base_Train-1 epoch | loss:0.00016548 | acc:0.3718
##### Epoch 1 | Loss: 0.00032371366978622973 | acc: 0.41416586768832453 #####
############# Starting Epoch 2 | LR: 0.0001 #############
Base_Train-2 epoch | loss:0.00015154 | acc:0.4918
##### Epoch 2 | Loss: 0.000307259033434093 | acc: 0.489203749229324 #####
############# Starting Epoch 3 | LR: 0.0001 #############
Base_Train-3 epoch | loss:0.00013363 | acc:0.5735
##### Epoch 3 | Loss: 0.00028310142806731164 | acc: 0.5543100263206521 #####
############# Starting Epoch 4 | LR: 0.0001 #############
Base_Train-4 epoch | loss:0.00011667 | acc:0.6275
##### Epoch 4 | Loss: 0.00026026213890872896 | acc: 0.5890249633742118 #####
############# Starting Epoch 5 | LR: 0.0001 #############
Base_Train-5 epoch | loss:0.00010460 | acc:0.6624
##### Epoch 5 | Loss: 0.0002439017262076959 | acc: 0.6141125119388923 #####
############# Starting Epoch 6 | LR: 0.0001 #############
Base_Train-6 epoch | loss:0.00009456 | acc:0.6932
##### Epoch 6 | Loss: 0.00023372043506242335 | acc: 0.6399329813492644 #####
############# Starting Epoch 7 | LR: 0.0001 #############
Base_Train-7 epoch | loss:0.00008593 | acc:0.7393
##### Epoch 7 | Loss: 0.00022117557819001377 | acc: 0.6821329231897625 #####
############# Starting Epoch 8 | LR: 0.0001 #############
Base_Train-8 epoch | loss:0.00007430 | acc:0.7860
##### Epoch 8 | Loss: 0.00020335741282906383 | acc: 0.7114521896097076 #####
############# Starting Epoch 9 | LR: 0.0001 #############
Base_Train-9 epoch | loss:0.00006305 | acc:0.8156
##### Epoch 9 | Loss: 0.00019366297055967152 | acc: 0.7349708755890654 #####
############# Starting Epoch 10 | LR: 0.0001 #############
Base_Train-10 epoch | loss:0.00005453 | acc:0.8313
##### Epoch 10 | Loss: 0.00017723802011460066 | acc: 0.7494183732766143 #####
############# Starting Epoch 11 | LR: 0.0001 #############
Base_Train-11 epoch | loss:0.00004879 | acc:0.8405
##### Epoch 11 | Loss: 0.00016942883667070419 | acc: 0.7588179916658648 #####
############# Starting Epoch 12 | LR: 0.0001 #############
Base_Train-12 epoch | loss:0.00004473 | acc:0.8481
##### Epoch 12 | Loss: 0.00016134495672304183 | acc: 0.7654571440391813 #####
############# Starting Epoch 13 | LR: 0.0001 #############
Base_Train-13 epoch | loss:0.00004218 | acc:0.8535
##### Epoch 13 | Loss: 0.00015781537513248622 | acc: 0.7698426927536157 #####
############# Starting Epoch 14 | LR: 0.0001 #############
Base_Train-14 epoch | loss:0.00003947 | acc:0.8675
##### Epoch 14 | Loss: 0.00015485432231798768 | acc: 0.7867267901183116 #####
############# Starting Epoch 15 | LR: 1e-05 #############
Base_Train-15 epoch | loss:0.00003256 | acc:0.8879
##### Epoch 15 | Loss: 0.0001381099282298237 | acc: 0.8008827779284451 #####
############# Starting Epoch 16 | LR: 0.0001 #############
Base_Train-16 epoch | loss:0.00003530 | acc:0.8896
##### Epoch 16 | Loss: 0.00015242371591739357 | acc: 0.7971233334287451 #####
############# Starting Epoch 17 | LR: 0.0001 #############
Base_Train-17 epoch | loss:0.00003594 | acc:0.8999
##### Epoch 17 | Loss: 0.0001503349922131747 | acc: 0.8072666043363392 #####
############# Starting Epoch 18 | LR: 0.0001 #############
Base_Train-18 epoch | loss:0.00003189 | acc:0.9231
##### Epoch 18 | Loss: 0.00014508016465697438 | acc: 0.8180566173092344 #####
############# Starting Epoch 19 | LR: 0.0001 #############
Base_Train-19 epoch | loss:0.00002665 | acc:0.9326
##### Epoch 19 | Loss: 0.00013016060984227806 | acc: 0.8329546307231582 #####
#######################################################################################################################
############# Starting Incremental Training step 0 with incremental classes ['horse'] ########################
############# Starting Epoch 0 | LR: 0.0001 #############
